Train step=100, hour=0, Loss = 3.7508092646021396e-05
Train step=200, hour=0, Loss = 2.4094748368952423e-05
Train step=300, hour=0, Loss = 1.870804771897383e-05
Train step=400, hour=0, Loss = 2.203397889388725e-05
Train step=500, hour=0, Loss = 1.1332800568197854e-05
Train step=600, hour=0, Loss = 1.3069353371975012e-05
Train step=700, hour=0, Loss = 9.802361091715284e-06
Train step=800, hour=0, Loss = 9.830174349190202e-06
Train step=900, hour=0, Loss = 8.241326213465072e-06
Train step=1000, hour=0, Loss = 8.700802027306054e-06
Train step=1100, hour=0, Loss = 8.042943591135554e-06
Train step=1200, hour=0, Loss = 7.997743523446843e-06
Train step=1300, hour=0, Loss = 8.218221410061233e-06
Train step=1400, hour=1, Loss = 1.2576042536238674e-05
Train step=1500, hour=1, Loss = 7.728331183898263e-06
Train step=1600, hour=1, Loss = 7.139199624361936e-06
Train step=1700, hour=1, Loss = 7.096677563822595e-06
Train step=1800, hour=1, Loss = 6.752143235644326e-06
Train step=1900, hour=1, Loss = 6.78464357406483e-06
Train step=2000, hour=1, Loss = 6.7511341512727086e-06
Train step=2100, hour=1, Loss = 6.775696419936139e-06
Train step=2200, hour=1, Loss = 6.612276592932176e-06
Train step=2300, hour=1, Loss = 6.556381322297966e-06
Train step=2400, hour=1, Loss = 6.477676834037993e-06
Train step=2500, hour=1, Loss = 6.507816124212695e-06
Train step=2600, hour=1, Loss = 6.6452134888095316e-06
Train step=2700, hour=1, Loss = 6.457322797359666e-06
Train step=2800, hour=1, Loss = 6.533120540552773e-06
Train step=2900, hour=2, Loss = 1.7972277419175953e-05
Train step=3000, hour=2, Loss = 1.621448427613359e-05
Train step=3100, hour=2, Loss = 1.1624493708950467e-05
Train step=3200, hour=2, Loss = 1.3500211025530007e-05
Train step=3300, hour=2, Loss = 9.190423952532e-06
Train step=3400, hour=2, Loss = 8.662842446938157e-06
Train step=3500, hour=2, Loss = 1.0141196980839595e-05
Train step=3600, hour=2, Loss = 7.671149433008395e-06
Train step=3700, hour=2, Loss = 7.644091056135949e-06
Train step=3800, hour=2, Loss = 7.635464498889633e-06
Train step=3900, hour=2, Loss = 8.974969205155503e-06
Train step=4000, hour=3, Loss = 0.0001395978033542633
Train step=4100, hour=3, Loss = 2.0184819732094184e-05
Train step=4200, hour=3, Loss = 1.723673995002173e-05
Train step=4300, hour=3, Loss = 1.2427166439010762e-05
Train step=4400, hour=3, Loss = 9.680560651759151e-06
Train step=4500, hour=3, Loss = 1.050502760335803e-05
Train step=4600, hour=3, Loss = 8.073999197222292e-06
Train step=4700, hour=3, Loss = 8.57674876897363e-06
Train step=4800, hour=3, Loss = 7.772178832965437e-06
Train step=4900, hour=3, Loss = 7.252482191688614e-06
Train step=5000, hour=3, Loss = 8.326044735440519e-06
Train step=5100, hour=3, Loss = 8.000626621651463e-06
Train step=5200, hour=4, Loss = 4.383509076433256e-05
Train step=5300, hour=4, Loss = 2.0883164324914105e-05
Train step=5400, hour=4, Loss = 1.311055075348122e-05
Train step=5500, hour=4, Loss = 1.4075661965762265e-05
Train step=5600, hour=4, Loss = 1.084885388991097e-05
Train step=5700, hour=4, Loss = 8.891026482160669e-06
Train step=5800, hour=4, Loss = 9.204794878314715e-06
Train step=5900, hour=4, Loss = 8.714854629943147e-06
Train step=6000, hour=4, Loss = 8.658351362100802e-06
Train step=6100, hour=5, Loss = 5.4458774684462696e-05
Train step=6200, hour=5, Loss = 8.185113074432593e-06
Train step=6300, hour=5, Loss = 7.517910489696078e-06
Train step=6400, hour=5, Loss = 7.027039828244597e-06
Train step=6500, hour=5, Loss = 7.150483725126833e-06
Train step=6600, hour=5, Loss = 6.784245670132805e-06
Train step=6700, hour=5, Loss = 6.79580080031883e-06
Train step=6800, hour=6, Loss = 0.0003236245538573712
Train step=6900, hour=6, Loss = 4.388545494293794e-05
Train step=7000, hour=6, Loss = 2.895796569646336e-05
Train step=7100, hour=6, Loss = 1.7004431356326677e-05
Train step=7200, hour=6, Loss = 1.2702501408057287e-05
Train step=7300, hour=6, Loss = 1.2095828424207866e-05
Train step=7400, hour=6, Loss = 1.3045830201008357e-05
Train step=7500, hour=6, Loss = 8.273873390862718e-06
Train step=7600, hour=6, Loss = 8.6704567365814e-06
Train step=7700, hour=6, Loss = 8.631742275611032e-06
Train step=7800, hour=6, Loss = 1.0089495845022611e-05
Train step=7900, hour=6, Loss = 7.57484849600587e-06
Train step=8000, hour=7, Loss = 1.3634539755003061e-05
Train step=8100, hour=7, Loss = 9.383275028085336e-06
Train step=8200, hour=7, Loss = 7.361577445408329e-06
Train step=8300, hour=7, Loss = 8.56301085150335e-06
Train step=8400, hour=7, Loss = 7.793205440975726e-06
Train step=8500, hour=7, Loss = 8.091554263955913e-06
Train step=8600, hour=7, Loss = 7.039662705210503e-06
Train step=8700, hour=7, Loss = 6.942827894818038e-06
Train step=8800, hour=7, Loss = 6.974170901230536e-06
Train step=8900, hour=7, Loss = 6.9768498178746086e-06
Train step=9000, hour=7, Loss = 6.799476068408694e-06
Train step=9100, hour=8, Loss = 6.866719922982156e-05
Train step=9200, hour=8, Loss = 2.088201836158987e-05
Train step=9300, hour=8, Loss = 2.3444077669410035e-05
Train step=9400, hour=8, Loss = 1.655032974667847e-05
Train step=9500, hour=8, Loss = 1.5749708836665377e-05
Train step=9600, hour=8, Loss = 1.2421647625160404e-05
Train step=9700, hour=8, Loss = 9.145431249635294e-06
Train step=9800, hour=8, Loss = 8.146562322508544e-06
Train step=9900, hour=8, Loss = 8.016180800041184e-06
Train step=10000, hour=8, Loss = 1.3478057553584222e-05
Train step=10100, hour=8, Loss = 9.719814443087671e-06
Train step=10200, hour=9, Loss = 0.00025660020764917135
Train step=10300, hour=9, Loss = 1.3570716873800848e-05
Train step=10400, hour=9, Loss = 9.24444611882791e-06
Train step=10500, hour=9, Loss = 7.708140401518904e-06
Train step=10600, hour=9, Loss = 7.694013220316265e-06
Train step=10700, hour=9, Loss = 8.45817612571409e-06
Train step=10800, hour=9, Loss = 7.630840627825819e-06
Train step=10900, hour=9, Loss = 6.716367352055386e-06
Train step=11000, hour=9, Loss = 7.707213626417797e-06
Train step=11100, hour=10, Loss = 2.8860766178695485e-05
Train step=11200, hour=10, Loss = 1.77233469003113e-05
Train step=11300, hour=10, Loss = 1.0850865692191292e-05
Train step=11400, hour=10, Loss = 8.872610123944469e-06
Train step=11500, hour=10, Loss = 8.456392606603913e-06
Train step=11600, hour=10, Loss = 8.529688784619793e-06
Train step=11700, hour=10, Loss = 8.093433280009776e-06
Train step=11800, hour=10, Loss = 7.243517302413238e-06
Train step=11900, hour=10, Loss = 7.444832135661272e-06
Train step=12000, hour=10, Loss = 7.65417735237861e-06
Train step=12100, hour=11, Loss = 2.722387944231741e-05
Train step=12200, hour=11, Loss = 1.2133020391047467e-05
Train step=12300, hour=11, Loss = 9.951301763067022e-06
Train step=12400, hour=11, Loss = 8.886370778782293e-06
Train step=12500, hour=11, Loss = 8.065610018093139e-06
Train step=12600, hour=11, Loss = 7.757360435789451e-06
Train step=12700, hour=11, Loss = 7.2074603849614505e-06
Train step=12800, hour=11, Loss = 7.126742730179103e-06
Train step=12900, hour=11, Loss = 6.720418241457082e-06
Train step=13000, hour=11, Loss = 6.977566044952255e-06
Train step=13100, hour=11, Loss = 7.1722015491104685e-06
Train step=13200, hour=11, Loss = 7.061739324853988e-06
Train step=13300, hour=11, Loss = 7.23753146303352e-06
Train step=13400, hour=12, Loss = 2.0968192984582856e-05
Train step=13500, hour=12, Loss = 1.4960891348891892e-05
Train step=13600, hour=12, Loss = 1.1466049727459904e-05
Train step=13700, hour=12, Loss = 1.2985487046535127e-05
Train step=13800, hour=12, Loss = 1.0311125151929446e-05
Train step=13900, hour=12, Loss = 8.731912203074899e-06
Train step=14000, hour=12, Loss = 8.535070264770184e-06
Train step=14100, hour=12, Loss = 9.651650543673895e-06
Train step=14200, hour=12, Loss = 9.421693903277628e-06
Train step=14300, hour=12, Loss = 1.234435876540374e-05
Train step=14400, hour=12, Loss = 7.338821887969971e-06
Train step=14500, hour=12, Loss = 1.1692944099195302e-05
Train step=14600, hour=13, Loss = 6.212702282937244e-05
Train step=14700, hour=13, Loss = 0.0001026135214488022
Train step=14800, hour=13, Loss = 2.475824840075802e-05
Train step=14900, hour=13, Loss = 2.2496553356177174e-05
Train step=15000, hour=13, Loss = 1.1842106687254272e-05
Train step=15100, hour=13, Loss = 1.236510888702469e-05
Train step=15200, hour=13, Loss = 9.705820048111491e-06
Train step=15300, hour=13, Loss = 9.214156307280064e-06
Train step=15400, hour=13, Loss = 8.091676136245951e-06
Train step=15500, hour=13, Loss = 1.1060988981625997e-05
Train step=15600, hour=13, Loss = 8.210481610149145e-06
Train step=15700, hour=13, Loss = 8.858711225911975e-06
Train step=15800, hour=13, Loss = 7.91797174315434e-06
Train step=15900, hour=13, Loss = 7.980832378962077e-06
Train step=16000, hour=13, Loss = 7.6094379437563475e-06
Train step=16100, hour=13, Loss = 9.675667570263613e-06
Train step=16200, hour=13, Loss = 7.4959152698284015e-06
Train step=16300, hour=14, Loss = 2.8624359401874244e-05
Train step=16400, hour=14, Loss = 1.128982512454968e-05
Train step=16500, hour=14, Loss = 1.0062939509225544e-05
Train step=16600, hour=14, Loss = 7.752947567496449e-06
Train step=16700, hour=14, Loss = 7.720714165770914e-06
Train step=16800, hour=14, Loss = 7.122790520952549e-06
Train step=16900, hour=14, Loss = 9.238519851351157e-06
Train step=17000, hour=14, Loss = 7.0517335188924335e-06
Train step=17100, hour=14, Loss = 6.802781626902288e-06
Train step=17200, hour=14, Loss = 7.044865014904644e-06
Train step=17300, hour=15, Loss = 6.0152189689688385e-05
Train step=17400, hour=15, Loss = 2.830690391419921e-05
Train step=17500, hour=15, Loss = 2.135534305125475e-05
Train step=17600, hour=15, Loss = 1.4400404324987903e-05
Train step=17700, hour=15, Loss = 1.2578253517858684e-05
Train step=17800, hour=15, Loss = 1.5438552509294823e-05
Train step=17900, hour=15, Loss = 1.8016668036580086e-05
Train step=18000, hour=15, Loss = 9.159879482467659e-06
Train step=18100, hour=15, Loss = 1.2363796486170031e-05
Train step=18200, hour=15, Loss = 8.283619536086917e-06
Train step=18300, hour=15, Loss = 1.541536403237842e-05
Train step=18400, hour=15, Loss = 9.108120138989761e-06
Train step=18500, hour=15, Loss = 1.0212640518147964e-05
Train step=18600, hour=15, Loss = 9.475561455474235e-06
Train step=18700, hour=15, Loss = 9.088274964597076e-06
Train step=18800, hour=15, Loss = 1.0841686162166297e-05
Train step=18900, hour=15, Loss = 1.1147047189297155e-05
