Train step=100, hour=0, Loss = 1.8962540707434528e-05
Train step=200, hour=0, Loss = 1.7866925190901384e-05
Train step=300, hour=0, Loss = 9.726127245812677e-06
Train step=400, hour=0, Loss = 9.104309356189333e-06
Train step=500, hour=0, Loss = 1.1440579328336753e-05
Train step=600, hour=0, Loss = 9.416517059435137e-06
Train step=700, hour=0, Loss = 7.486067261197604e-06
Train step=800, hour=0, Loss = 8.009854354895651e-06
Train step=900, hour=0, Loss = 7.669306796742603e-06
Train step=1000, hour=0, Loss = 8.250743121607229e-06
Train step=1100, hour=0, Loss = 7.482407909265021e-06
Train step=1200, hour=0, Loss = 7.3143301051459275e-06
Train step=1300, hour=1, Loss = 0.0004172792541794479
Train step=1400, hour=1, Loss = 5.270998735795729e-05
Train step=1500, hour=1, Loss = 2.7952670279773884e-05
Train step=1600, hour=1, Loss = 3.1369483622256666e-05
Train step=1700, hour=1, Loss = 1.594909372215625e-05
Train step=1800, hour=1, Loss = 1.4985159396019299e-05
Train step=1900, hour=1, Loss = 1.3365746781346388e-05
Train step=2000, hour=1, Loss = 1.0626305083860643e-05
Train step=2100, hour=1, Loss = 2.029284405580256e-05
Train step=2200, hour=1, Loss = 1.00654306152137e-05
Train step=2300, hour=1, Loss = 8.816118679533247e-06
Train step=2400, hour=1, Loss = 9.824886546994094e-06
Train step=2500, hour=1, Loss = 8.389858521695714e-06
Train step=2600, hour=1, Loss = 8.658843398734462e-06
Train step=2700, hour=2, Loss = 3.594966256059706e-05
Train step=2800, hour=2, Loss = 1.7871585441753268e-05
Train step=2900, hour=2, Loss = 1.659931876929477e-05
Train step=3000, hour=2, Loss = 1.2205233360873535e-05
Train step=3100, hour=2, Loss = 1.0617588486638851e-05
Train step=3200, hour=2, Loss = 1.1702889423759189e-05
Train step=3300, hour=2, Loss = 1.2804174730263185e-05
Train step=3400, hour=2, Loss = 8.65107631398132e-06
Train step=3500, hour=2, Loss = 8.583598173572682e-06
Train step=3600, hour=2, Loss = 7.998196451808326e-06
Train step=3700, hour=3, Loss = 0.0014639858854934573
Train step=3800, hour=3, Loss = 1.41310829349095e-05
Train step=3900, hour=3, Loss = 9.17572651815135e-06
Train step=4000, hour=3, Loss = 7.769878720864654e-06
Train step=4100, hour=3, Loss = 7.537341843999457e-06
Train step=4200, hour=3, Loss = 7.177874522312777e-06
Train step=4300, hour=3, Loss = 7.330664629989769e-06
Train step=4400, hour=3, Loss = 7.137084139685612e-06
